SEDE_CODIGO;PERIODO_ID;PERIODO_ANIO;CARACTER_ID;CARACTER_CODIGO;CARACTER_NOMBRE
105001016420;5;2018;1;01;Académico
105001016420;5;2018;2;02;Técnico
105001016462;5;2018;1;01;Académico
105001016489;5;2018;1;01;Académico
105001017132;5;2018;1;01;Académico
105001017396;5;2018;1;01;Académico
105001017400;5;2018;1;01;Académico
105001017531;5;2018;1;01;Académico
105001017876;5;2018;1;01;Académico
105001017965;5;2018;1;01;Académico
105001018058;5;2018;1;01;Académico
105001018228;5;2018;1;01;Académico
105001018309;5;2018;1;01;Académico
105001018759;5;2018;1;01;Académico
105001018775;5;2018;1;01;Académico
105001018821;5;2018;1;01;Académico
105001018872;5;2018;1;01;Académico
105001019011;5;2018;1;01;Académico
105001019062;5;2018;1;01;Académico
105001019089;5;2018;1;01;Académico
105001019143;5;2018;1;01;Académico
105001019194;5;2018;1;01;Académico
105001019194;5;2018;2;02;Técnico
105001019232;5;2018;1;01;Académico
105001019283;5;2018;1;01;Académico
105001019305;5;2018;1;01;Académico
105001019330;5;2018;1;01;Académico
105001019330;5;2018;2;02;Técnico
105001019429;5;2018;1;01;Académico
105001019437;5;2018;1;01;Académico
105001019453;5;2018;1;01;Académico
105001019453;5;2018;2;02;Técnico
105001019534;5;2018;1;01;Académico
105001019674;5;2018;1;01;Académico
105001019798;5;2018;1;01;Académico
105001019879;5;2018;1;01;Académico
105001019925;5;2018;1;01;Académico
105001019925;5;2018;2;02;Técnico
105001020028;5;2018;1;01;Académico
105001020036;5;2018;1;01;Académico
105001020052;5;2018;1;01;Académico
105001020273;5;2018;1;01;Académico
105001020591;5;2018;1;01;Académico
105001020605;5;2018;1;01;Académico
105001021075;5;2018;1;01;Académico
105001021199;5;2018;1;01;Académico
105001021199;5;2018;2;02;Técnico
105001021547;5;2018;1;01;Académico
105001021555;5;2018;1;01;Académico
105001021636;5;2018;1;01;Académico
105001021636;5;2018;2;02;Técnico
105001021873;5;2018;1;01;Académico
105001021873;5;2018;2;02;Técnico
105001022101;5;2018;1;01;Académico
105001023965;5;2018;1;01;Académico
105001024073;5;2018;1;01;Académico
105001024073;5;2018;2;02;Técnico
105040000212;5;2018;1;01;Académico
105040000212;5;2018;2;02;Técnico
105042000091;5;2018;1;01;Académico
105042000121;5;2018;1;01;Académico
105042000139;5;2018;1;01;Académico
105042000180;5;2018;1;01;Académico
105042000546;5;2018;1;01;Académico
105042000732;5;2018;1;01;Académico
105044000128;5;2018;1;01;Académico
105045000148;5;2018;1;01;Académico
105045000164;5;2018;1;01;Académico
105045000318;5;2018;1;01;Académico
105045000393;5;2018;1;01;Académico
105045000601;5;2018;1;01;Académico
105045001217;5;2018;1;01;Académico
105045001454;5;2018;1;01;Académico
105045001527;5;2018;1;01;Académico
105045001551;5;2018;1;01;Académico
105045001667;5;2018;1;01;Académico
105045001683;5;2018;1;01;Académico
105045010674;5;2018;1;01;Académico
105045010721;5;2018;1;01;Académico
105045010780;5;2018;1;01;Académico
105051000028;5;2018;1;01;Académico
105051000478;5;2018;1;01;Académico
105051000508;5;2018;1;01;Académico
105051002349;5;2018;1;01;Académico
105051002551;5;2018;1;01;Académico
105055000022;5;2018;1;01;Académico
105059000116;5;2018;1;01;Académico
105079000015;5;2018;1;01;Académico
105079000015;5;2018;2;02;Técnico
105079000082;5;2018;1;01;Académico
105079000406;5;2018;1;01;Académico
105079000406;5;2018;2;02;Técnico
105086000012;5;2018;1;01;Académico
105086000110;5;2018;1;01;Académico
105088000036;5;2018;1;01;Académico
105088000061;5;2018;1;01;Académico
105088000079;5;2018;1;01;Académico
105088000117;5;2018;1;01;Académico
105088000141;5;2018;1;01;Académico
105088000176;5;2018;1;01;Académico
105088000273;5;2018;1;01;Académico
105088000290;5;2018;1;01;Académico
105088000338;5;2018;1;01;Académico
105088000362;5;2018;1;01;Académico
105088000389;5;2018;1;01;Académico
105088000397;5;2018;1;01;Académico
105088000419;5;2018;1;01;Académico
105088000427;5;2018;1;01;Académico
105088000460;5;2018;1;01;Académico
105088000486;5;2018;1;01;Académico
105088000516;5;2018;1;01;Académico
105088000532;5;2018;1;01;Académico
105088000559;5;2018;1;01;Académico
105088000877;5;2018;1;01;Académico
105088001288;5;2018;1;01;Académico
105088001415;5;2018;1;01;Académico
105088001431;5;2018;1;01;Académico
105088001512;5;2018;1;01;Académico
105088001521;5;2018;1;01;Académico
105088001539;5;2018;1;01;Académico
105088001539;5;2018;2;02;Técnico
105088001555;5;2018;1;01;Académico
105088001679;5;2018;1;01;Académico
105088001709;5;2018;1;01;Académico
105088001733;5;2018;1;01;Académico
105088001750;5;2018;1;01;Académico
105088001792;5;2018;1;01;Académico
105088001806;5;2018;1;01;Académico
105088001873;5;2018;1;01;Académico
105088001938;5;2018;1;01;Académico
105088001971;5;2018;1;01;Académico
105088002306;5;2018;1;01;Académico
105088002527;5;2018;1;01;Académico
105088002641;5;2018;1;01;Académico
105088002691;5;2018;1;01;Académico
105154002274;5;2018;1;01;Académico
105154002274;5;2018;3;03;Normalista
105154800006;5;2018;1;01;Académico
105172000076;5;2018;1;01;Académico
105172000220;5;2018;1;01;Académico
105172000238;5;2018;1;01;Académico
105172000572;5;2018;1;01;Académico
105172000629;5;2018;1;01;Académico
105172000912;5;2018;1;01;Académico
105172001269;5;2018;1;01;Académico
105172001463;5;2018;1;01;Académico
105172001510;5;2018;1;01;Académico
105172001528;5;2018;1;01;Académico
105172007526;5;2018;1;01;Académico
105172007771;5;2018;1;01;Académico
105172007771;5;2018;2;02;Técnico
